x,y,xp,yp
-0.009061813531694107,-0.007220783106772315,-0.01655520297783348,-0.006712147844896817
-0.007794477065064308,-0.01341231236741753,-0.01319965518664135,-0.01004821487780757
-0.005527235755357569,-0.01083394301350884,-0.004816710222722649,-0.007947672814419625
-0.008059515130015356,-0.01002470572757892,-0.02159887206130508,-0.009263377392712673
-0.00755147087402119,-0.01135015210727879,0.001320651856283012,-0.01008482825157313
-0.006547668559573339,-0.01227756932271374,-0.003224163488987734,-0.0079919662914448
-0.005245519071984971,-0.01050818687909345,-0.01319427365885305,-0.008652233456247799
-0.006937794286011177,-0.003940094056386927,-0.003888638116499391,-0.004633197203798331
-0.006452192635561623,-0.01080174718780056,-0.002092333611378143,-0.00806076575015666
-0.009309669669524172,-0.007419466387565906,-0.01902575487713066,-0.005857714738092566
-0.008108724175683066,-0.009756102712243642,-0.007987404208824015,-0.008009828779273047
-0.008396293831450553,-0.01249827001796933,-0.01260928369968814,-0.008971521005531061
-0.006571894250771754,-0.008940399998486167,0.001580524836951328,-0.007592055136666747
-0.006034924272300016,-0.0141858519065896,0.001370868407892514,-0.00884736530087786
-0.008163093232363536,-0.01397776229595936,-0.01354544502075538,-0.01010297284009878
-0.008112725411625145,-0.01176036684836633,-0.01144482366835682,-0.008822859368328582
-0.00869413664593533,-0.02108849414881472,-0.01647262981297438,-0.01512805290594564
-0.008238095364230449,-0.01172608821036778,-0.01055007321440538,-0.008173821841925898
-0.006173240712242312,-0.009011549885850978,-0.004468912993537224,-0.007581305553320993
-0.006152769359997794,-0.008832692184961025,-0.005480386900010036,-0.006864350888185399
-0.008357798667835436,-0.01376489289456381,-0.01426978596806932,-0.01060996237043215
-0.006198865169857395,-0.01082857111924413,-0.007695685847624092,-0.007518708319356603
-0.007535285216280052,-0.01027639489068716,-0.005499492707467944,-0.008143955079560238
-0.005839201090481286,-0.007833921705710385,-0.002400672529181106,-0.005872316446437361
-0.005429302620157375,-0.004557632243783655,-0.004710437153851734,-0.0062515165736056
-0.008621965052251965,-0.01395174266914184,-0.01515080341530723,-0.01086090924192063
-0.007461587059927208,-0.01285040679173761,-0.01656836205955129,-0.007615727724905335
-0.005982780346656144,-0.006337639158702543,-0.007119422134250547,-0.004462198641890123
-0.005914589447351125,-0.008499773590350083,-0.003428467627188746,-0.006146866357661498
-0.006602265265487191,-0.01102280997081766,-0.009625579433209132,-0.008057042774407188
-0.006585099149195507,-0.008790435991563707,-0.01515210611105853,-0.007338876620655961
-0.006512294808660201,-0.006264311256005215,-0.0002381833244234893,-0.004147115873418862
-0.006045325623226637,-0.006591183116993761,-0.003113360426494103,-0.005826592323020435
-0.007291139001398264,-0.01160069176501883,-0.01827409301559973,-0.009292918771165108
-0.007303066751231648,-0.007583141359449147,-0.01038482008607487,-0.006086837857013062
-0.008207517351530249,-0.007186503492628395,-0.01299756707432411,-0.00630824574691224
-0.006807838895764346,-0.008289250682238921,-0.000667208758360946,-0.005828230998629359
-0.009303712515054616,-0.01374166672540067,-0.01574535301829634,-0.01057889333092229
-0.006371653074813194,-0.01160565803556639,-0.0007946343042734179,-0.00848615000933576
-0.007823844139368576,-0.009249623906702809,0.0008005335144994283,-0.008296895762915212
-0.006359671450656093,-0.009299833200702202,-0.01598626177294224,-0.008398957374510739
-0.006778225746550706,-0.001556159643218592,-0.008464480286387216,-0.002840977431915154
-0.008058418676783495,-0.006685432923622892,0.00931628578304542,-0.007399704559829828
-0.006030172920958356,-0.008012942854388028,-0.00703678990736791,-0.007038194514895854
-0.007358021489627851,-0.01297237088542512,-0.01345256774763798,-0.01035581834613013
-0.006913356323147144,-0.009999979930919565,-0.006869118573338614,-0.008331029625298261
-0.007164871180153769,-0.007765476987400501,-0.001754586939279084,-0.006813295708246657
-0.007745906264353129,-0.01103170341896488,-0.01101741306519794,-0.006834100716921543
-0.006059138974269457,-0.004673762470465515,-0.007308683950264195,-0.005462699392794332
-0.006345898450618949,-0.008286504615077446,-0.002889460959288237,-0.005605991076004561
-0.007055792105254725,-0.007439880960031326,-0.01279668599109018,-0.007735949037900149
