x,xp,y,yp,t,p,dt,particleID
-0.006046317864499298,-0.008691879630365001,-0.008250104269012282,-0.008486777187380206,4.576339184694396e-08,786.7145866407053,8.290178509045983e-13,79
-0.007291394888425094,-0.01355014068065194,-0.0106115268977333,-0.009268666201495137,4.575663797616444e-08,766.8786410059884,-5.9248529286100155e-12,80
-0.006808700141188994,-0.00239823700358586,-0.01085830766590881,-0.00806855280366448,4.575798933983424e-08,802.6022735827787,-4.573489258808691e-12,914
-0.007267915674957406,0.004429367270556116,-0.01420699767484293,-0.009444237927261793,4.578415374302254e-08,799.5810679087787,2.1590913929485358e-11,82
-0.006944971850087861,0.001948790365283341,-0.00894741047420052,-0.00815510616287254,4.5771809377667874e-08,814.9307194146966,9.246548574816073e-12,83
-0.009432722548637158,-0.01659009320363333,-0.01312546432086758,-0.01076264276122685,4.577035603951832e-08,753.3833441971501,7.793210425264369e-12,84
-0.005494472494891349,-0.008040268690717762,-0.005299419644992091,-0.006016079404605718,4.5754117337627374e-08,813.2044788480533,-8.445491465683681e-12,85
-0.007802850446169765,-0.01280549008028372,-0.01021086429295906,-0.007189259213951668,4.5748260498911224e-08,786.2484224088298,-1.430233018182679e-11,736
-0.007476293435714913,-0.003413546043230356,-0.01049824336842417,-0.007347771707464903,4.580454044835094e-08,816.20053647939,4.1977619257890405e-11,87
-0.007235264100780354,0.001469319380463113,-0.015705191501211,-0.00889925203420337,4.57596901668873e-08,793.6043853248389,-2.872662205748108e-12,88
-0.007255033020669935,-0.002085170305485684,-0.00636100823852585,-0.006692233328098022,4.577613468917458e-08,795.573898981106,1.3571860081524439e-11,89
-0.007788970045923467,-0.01401989861943991,-0.01176731644227496,-0.008393599561722821,4.5763629072594214e-08,761.7714939633152,1.066243501156174e-12,913
-0.005025258293028339,-0.008516678647041942,-0.008186098481079675,-0.005944687625772223,4.5798061988666564e-08,786.5984630624179,3.549915957350662e-11,91
-0.008840037746778807,-0.02044978752841875,-0.008706084922802193,-0.006235799919125448,4.5719169821921205e-08,762.6769980541633,-4.339300717185311e-11,92
-0.006170056780899453,-0.009745443901578927,-0.01198340044882586,-0.008451594858041485,4.576832345998604e-08,784.5512496582134,5.760630892985625e-12,93
-0.005996231499834112,-0.00617357668606486,-0.01162569871727107,-0.009529226586832189,4.576963135088583e-08,780.1195279196509,7.068521792779645e-12,94
-0.00596929508575731,-0.01345633897535214,-0.01204394365328443,-0.007847731072100062,4.5789213122960364e-08,777.6831947627347,2.665029386731292e-11,95
-0.007417516532221309,0.000805146601200896,-0.005993913314273307,-0.006731772664095384,4.578697486723962e-08,804.8189187640517,2.4412038146571878e-11,96
-0.005082318467314509,-0.009820209724284006,-0.009523009542671875,-0.008398352480225853,4.5761597836605486e-08,788.7152920487463,-9.649924875720497e-13,97
-0.00634273908561459,-0.005692354032703435,-0.01093441003261736,-0.00937406359476793,4.580678201698128e-08,806.9527805894442,4.421918788823022e-11,98
-0.005859714580274539,-0.00785141277328958,-0.007407857117722518,-0.006392012013984708,4.57924990073573e-08,819.2120680240323,2.993617826425159e-11,991
-0.005582278452488881,-0.01109800512851099,-0.01040334279859194,-0.008054704976606583,4.5799998801696084e-08,810.5759282138313,3.7435972603025985e-11,994
-0.007076214775520555,-0.001183189987035378,-0.01387158400237802,-0.009987927959445165,4.57688268287212e-08,773.4214143301386,6.263999628144234e-12,101
-0.007179152427669076,-0.01111197296395699,-0.006105367948897818,-0.004597035198852059,4.5758100996678083e-08,776.874886559964,-4.461832414974361e-12,102
-0.007374721259634367,0.007189345155364495,-0.01004862400996819,-0.006469310684570159,4.5792071184277904e-08,808.7485317464289,2.950835518484638e-11,912
-0.006397464647079099,-0.004613794671494403,-0.008882893124231015,-0.007132632102620672,4.577830886005406e-08,818.1600850886771,1.5746030961009718e-11,104
-0.007268230628426799,-0.01208444795305151,-0.005612193262669792,-0.005769506635309399,4.5756831538677055e-08,777.0139335704034,-5.731290416003086e-12,105
-0.005766393082691786,-0.01155126734764194,-0.006607032772365145,-0.006819386004710083,4.5745201804888775e-08,768.0227185722315,-1.73610242042828e-11,106
-0.006953560803096327,-0.01476735135665319,-0.005961211166632598,-0.005372671427842763,4.574135525177302e-08,762.1190807407137,-2.1207577320028438e-11,989
-0.007449556304663076,-0.02489186117223412,-0.01091756222416902,-0.01024458149138667,4.577917372281759e-08,757.7698250509214,1.661089372454081e-11,108
-0.006954056063571344,-0.006076228830388893,-0.01074744805554234,-0.007815336072088022,4.5765728913603834e-08,782.4897125203179,3.1660845107767788e-12,911
-0.007692302381375223,-0.01582457263584503,-0.01143388100528206,-0.008323864120581826,4.574906171826428e-08,765.4089758128049,-1.3501110828767749e-11,110
-0.00644655815192847,-0.008825695327823117,-0.008693911961851701,-0.005900162129860816,4.5775532074673884e-08,770.2941161590404,1.2969245580826429e-11,111
-0.006953028340921538,0.004387847336005633,-0.007402127821716271,-0.006878000623687265,4.5772670036555066e-08,805.6288420268353,1.010720746200873e-11,112
-0.009166814643060052,-0.02206635253453584,-0.003536664894033914,-0.003357873816782856,4.579013014573959e-08,762.181014867227,2.756731664654134e-11,113
-0.008960066527745933,-0.01817042548943928,-0.0129746429528173,-0.0110017042185775,4.576119365433665e-08,765.074515314709,-1.369174756399561e-12,114
