,ElementName,s,betax,betay,alphax,alphay,etax,etay,pCentral0,xAperture,yAperture
85,RFCAVITY_D,11.65299999999997,0.7397552541829003,2.268410614604201,-0.7244310372981957,-0.3121727633756209,-0.101984474531301,-0.008805356398596746,782.7803049187606,9.455186791248108,8.773418049326267
86,RFCAVITY_D,11.68797999999997,0.7929585624814808,2.290842196187144,-0.7965326076011887,-0.329096006862907,-0.1060838985733552,-0.008708725557828858,782.7803049187606,9.40084692526216,8.75690738583055
87,RFCAVITY_D,11.72295999999997,0.8512060966384586,2.314457727884458,-0.8686341779041817,-0.3460192503501931,-0.1101833226154093,-0.00861209471706097,782.7803049187606,9.346487314940964,8.740118599405712
88,RFCAVITY_D,11.75793999999997,0.914497856653834,2.339257209696143,-0.9407357482071748,-0.3629424938374792,-0.1142827466574635,-0.008515463876293082,782.7803049187606,9.29210794995058,8.723051447862925
89,RFCAVITY_D,11.79291999999996,0.9828338425276064,2.365240641622198,-1.012837318510168,-0.3798657373247653,-0.1183821706995176,-0.008418833035525194,782.7803049187606,9.237708819831791,8.705705665418282
90,RFCAVITY_D,11.82789999999996,1.056214054259777,2.392408023662624,-1.084938888813161,-0.3967889808120513,-0.1224815947415717,-0.008322202194757307,782.7803049187606,9.183289913999774,8.688080962581015
91,RFCAVITY_D,11.86287999999996,1.134638491850344,2.420759355817421,-1.157040459116154,-0.4137122242993374,-0.1265810187836259,-0.008225571353989419,782.7803049187606,9.128851221743782,8.670177026031466
92,RFCAVITY_D,11.89785999999996,1.218107155299309,2.450294638086588,-1.229142029419147,-0.4306354677866235,-0.1306804428256801,-0.00812894051322153,782.7803049187606,24.12644218115496,23.67317278998558
93,ML,11.89785999999996,1.218107155299309,2.450294638086588,-1.229142029419147,-0.4306354677866235,-0.1306804428256801,-0.00812894051322153,782.7803049187606,24.12644218115496,23.67317278998558
94,LDB,12.21925999999996,2.221119752584544,2.777082432069136,-1.891619007560426,-0.5861280480271536,-0.1683463915711404,-0.007241085961397658,782.7803049187606,23.63584397566031,23.524606115235482
95,WQ1L9_1,12.21925999999996,2.221119752584544,2.777082432069136,-1.891619007560426,-0.5861280480271536,-0.1683463915711404,-0.007241085961397658,782.7803049187606,23.63584397566031,23.524606115235482
96,Q1L9,12.39925999999996,3.845546128304825,2.217279073517022,-8.008380410321491,3.382287510118561,-0.2160118538271353,-0.005853645951116647,782.7803049187606,23.4468933222708,23.57706668775938
97,LL9L10,12.53925999999996,6.419868760660533,1.3802028198457,-10.37963839221928,2.596828587533735,-0.2755827519717904,-0.004133318281264283,782.7803049187606,23.35858030002136,23.7228169537098
98,WQ1L10_1,12.53925999999996,6.419868760660533,1.3802028198457,-10.37963839221928,2.596828587533735,-0.2755827519717904,-0.004133318281264283,782.7803049187606,23.35858030002136,23.7228169537098
99,Q1L10,12.71925999999996,7.133641076083269,1.067457101572824,7.025455214079561,-0.6070982339641386,-0.2863511850992612,-0.001914285062718886,782.7803049187606,23.958574500159617,23.19623126740445
100,LL10M5,13.71925999999996,0.1418215704921559,3.56373625335405,-0.03363570848844777,-1.889180917817088,0.02374361716319462,0.01159696338592772,782.7803049187606,5.370296476310062,20.42289418788907
101,MBV,13.71925999999996,0.1418215704921559,3.56373625335405,-0.03363570848844777,-1.889180917817088,0.02374361716319462,0.01159696338592772,782.7803049187606,5.370296476310062,20.42289418788907
102,FINAL_WP,13.71925999999996,0.1418215704921559,3.56373625335405,-0.03363570848844777,-1.889180917817088,0.02374361716319462,0.01159696338592772,782.7803049187606,5.370296476310062,20.42289418788907
